tick,poi_id,visitors,crowd_ratio,name,neighborhood,category
0,1,54,0.18,Sagrada Familia,Eixample,Religious
0,2,38,0.2714285714285714,Parc Guell,Gracia,Nature
0,3,416,0.26,La Rambla,Barri Gotic,History
0,4,235,1.46875,Santa Maria del Mar,El Born,Religious
0,5,98,1.225,Casa Batllo,Eixample,Art
0,6,0,0.0,Casa Mila (La Pedrera),Eixample,Art
0,7,12,0.027958993476234855,Palau de la Musica Catalana,El Born,Art
0,8,16,0.05333333333333334,Hospital de Sant Pau,Eixample,History
0,9,18,0.075,Barcelona Cathedral,Barri Gotic,Religious
0,10,153,1.275,Basilica de Santa Maria del Pi,Barri Gotic,Religious
0,11,24,0.48,Palau Guell,El Raval,Art
0,12,1,0.008333333333333333,MACBA Museum,El Raval,Art
0,13,5,0.05,CCCB Center,El Raval,Art
0,14,0,0.0,Sant Pau del Camp,El Raval,Religious
0,15,0,0.0,Church of Sant Josep Oriol,Barri Gotic,Religious
0,16,261,2.9,Picasso Museum,El Born,Art
0,17,0,0.0,Fundacio Joan Miro,Montjuic,Art
0,18,0,0.0,MNAC (Palau Nacional),Montjuic,Art
0,19,73,0.146,Barcelona Zoo,Ciutadella,Nature
0,20,723,0.723,Parc de la Ciutadella,Ciutadella,Nature
0,21,13,0.043333333333333335,Castell de Montjuic,Montjuic,History
0,22,116,0.0725,Magic Fountain of Montjuic,Montjuic,History
0,23,4,0.005714285714285714,Poble Espanyol,Montjuic,History
0,24,73,0.006526481421878911,Estadi Olimpic Lluis Companys,Montjuic,History
0,25,57,0.8142857142857143,Montjuic Cable Car (Teleferic),Montjuic,Nature
0,26,0,0.0,Laberint d'Horta,Horta-Guinardo,Nature
0,27,0,0.0,Bunkers del Carmel,Horta-Guinardo,Nature
0,28,46,0.19166666666666668,CosmoCaixa,Horta-Guinardo,Art
0,29,0,0.0,Tibidabo Temple (Sagrat Cor),Horta-Guinardo,Religious
0,30,12,0.24,Casa Vicens,Gracia,Art
0,31,0,0.0,Camp Nou Stadium,Les Corts,History
0,32,3,0.01875,FC Barcelona Museum,Les Corts,History
