tick,agent_id,recommender,chosen_poi_id,chosen_poi_name,chosen_neighborhood,chosen_score,candidate_poi_ids
0,0,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,1,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,2,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 2, 3, 5, 6]"
0,4,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,5,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 3, 5, 6, 16]"
0,6,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,7,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,8,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,9,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 20, 33, 38, 9]"
0,10,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,11,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,12,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 2, 3, 5, 6]"
0,13,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,14,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 3, 5, 6, 16]"
0,15,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 5, 6, 20, 33]"
0,16,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,17,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,18,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 2, 3, 5, 6]"
0,19,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,20,popularity,38,Barceloneta Beach,La Barceloneta,5.0,"[38, 10]"
0,21,popularity,38,Barceloneta Beach,La Barceloneta,5.0,"[38, 10]"
0,22,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,23,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,24,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,25,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,26,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 3, 5, 6, 16]"
0,27,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,28,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 20, 33, 38, 9]"
0,29,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,30,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 3, 5, 6, 16]"
0,31,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,32,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,33,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 2, 3, 5, 6]"
0,34,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,35,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,36,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,37,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,38,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,39,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,40,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,41,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,42,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 2, 3, 5, 6]"
0,43,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,44,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,45,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 2, 3, 5, 6]"
0,46,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 3, 5, 6, 16]"
0,47,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 20, 33, 38, 9]"
0,48,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,49,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,50,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,51,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,52,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,53,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,54,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,55,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,56,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 2, 3, 5, 6]"
0,57,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,58,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 2, 3, 5, 6]"
0,59,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,60,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,61,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,62,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,63,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,64,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,65,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 33, 38]"
0,66,popularity,38,Barceloneta Beach,La Barceloneta,5.0,"[38, 10]"
0,67,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,68,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,69,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,70,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 3, 5, 6, 16]"
0,71,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,72,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,73,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,74,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,75,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,76,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 20, 33, 38, 9]"
0,77,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,78,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,79,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,80,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,81,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 2, 3, 5, 6]"
0,82,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,83,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 3, 5, 6, 16]"
0,84,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,85,popularity,38,Barceloneta Beach,La Barceloneta,5.0,"[38, 10]"
0,86,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 33, 38]"
0,87,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,88,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 2, 3, 5, 6]"
0,89,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 34]"
0,90,popularity,20,Parc de la Ciutadella,Ciutadella,5.0,"[20, 38, 4, 19, 22]"
0,91,popularity,38,Barceloneta Beach,La Barceloneta,5.0,"[38, 40, 10]"
0,92,popularity,3,La Rambla,Barri Gotic,5.0,"[3, 16, 20, 31, 33]"
0,93,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 2, 3, 5, 6]"
0,94,popularity,1,Sagrada Familia,Eixample,5.0,"[1, 2, 3, 5, 6]"
