tick,poi_id,visitors,crowd_ratio,name,neighborhood,category
0,1,8,0.02666666666666667,Sagrada Familia,Eixample,Religious
0,2,28,0.2,Parc Guell,Gracia,Nature
0,3,27,0.016875,La Rambla,Barri Gotic,History
0,4,21,0.13125,Santa Maria del Mar,El Born,Religious
0,5,1,0.0125,Casa Batllo,Eixample,Art
0,6,0,0.0,Casa Mila (La Pedrera),Eixample,Art
0,7,6,0.013979496738117428,Palau de la Musica Catalana,El Born,Art
0,8,0,0.0,Hospital de Sant Pau,Eixample,History
0,9,30,0.125,Barcelona Cathedral,Barri Gotic,Religious
0,10,17,0.14166666666666666,Basilica de Santa Maria del Pi,Barri Gotic,Religious
0,11,36,0.72,Palau Guell,El Raval,Art
0,12,84,0.7,MACBA Museum,El Raval,Art
0,13,73,0.73,CCCB Center,El Raval,Art
0,14,37,0.925,Sant Pau del Camp,El Raval,Religious
0,15,9,0.15,Church of Sant Josep Oriol,Barri Gotic,Religious
0,16,12,0.13333333333333333,Picasso Museum,El Born,Art
0,17,16,0.2,Fundacio Joan Miro,Montjuic,Art
0,18,34,0.085,MNAC (Palau Nacional),Montjuic,Art
0,19,44,0.088,Barcelona Zoo,Ciutadella,Nature
0,20,104,0.104,Parc de la Ciutadella,Ciutadella,Nature
0,21,14,0.04666666666666667,Castell de Montjuic,Montjuic,History
0,22,121,0.075625,Magic Fountain of Montjuic,Montjuic,History
0,23,31,0.04428571428571428,Poble Espanyol,Montjuic,History
0,24,80,0.007152308407538533,Estadi Olimpic Lluis Companys,Montjuic,History
0,25,11,0.15714285714285714,Montjuic Cable Car (Teleferic),Montjuic,Nature
0,26,65,0.40625,Laberint d'Horta,Horta-Guinardo,Nature
0,27,31,0.3875,Bunkers del Carmel,Horta-Guinardo,Nature
0,28,101,0.42083333333333334,CosmoCaixa,Horta-Guinardo,Art
0,29,36,0.3,Tibidabo Temple (Sagrat Cor),Horta-Guinardo,Religious
0,30,14,0.28,Casa Vicens,Gracia,Art
0,31,182,0.009159168226744771,Camp Nou Stadium,Les Corts,History
0,32,1,0.00625,FC Barcelona Museum,Les Corts,History
0,33,325,0.65,Mercat de la Boqueria,El Raval,Food
0,34,81,0.3375,Mercat de Sant Antoni,Sant Antoni,Food
0,35,21,0.11666666666666667,Mercat de Santa Caterina,El Born,Food
0,36,54,0.3375,Mercat de la Concepcio,Sant Antoni,Food
0,37,152,0.38,Mercat dels Encants,Poblenou,History
0,38,102,0.06375,Barceloneta Beach,La Barceloneta,Nature
0,39,7,0.007,Port Vell (Promenade),Barri Gotic,History
0,40,6,0.025,Aquarium Barcelona,Barri Gotic,Nature
0,41,3,0.025,Maritime Museum,Barri Gotic,History
0,42,28,0.14,Basilica de la Mare de Deu de la Merce,Barri Gotic,Religious
0,43,8,0.08,El Born Cultural Center,El Born,History
0,44,50,0.4166666666666667,Parc de la Creueta del Coll,Horta-Guinardo,Nature
0,45,31,0.19375,Parc de l'Espanya Industrial,Sants,Nature
0,46,169,0.7041666666666667,Parc Central de Nou Barris,Nou Barris,Nature
0,47,113,0.70625,Parc del Turo de la Peira,Nou Barris,Nature
0,48,28,0.35,Torre Glories Viewpoint,Poblenou,Art
0,49,227,0.37833333333333335,Parc Diagonal Mar,Poblenou,Nature
0,50,276,0.345,Forum Building / Forum Park,Poblenou,History
1,1,7,0.023333333333333334,Sagrada Familia,Eixample,Religious
1,2,25,0.17857142857142858,Parc Guell,Gracia,Nature
1,3,22,0.01375,La Rambla,Barri Gotic,History
1,4,17,0.10625,Santa Maria del Mar,El Born,Religious
1,5,1,0.0125,Casa Batllo,Eixample,Art
1,6,0,0.0,Casa Mila (La Pedrera),Eixample,Art
1,7,2,0.004659832246039143,Palau de la Musica Catalana,El Born,Art
1,8,0,0.0,Hospital de Sant Pau,Eixample,History
1,9,24,0.1,Barcelona Cathedral,Barri Gotic,Religious
1,10,12,0.1,Basilica de Santa Maria del Pi,Barri Gotic,Religious
1,11,33,0.66,Palau Guell,El Raval,Art
1,12,77,0.6416666666666667,MACBA Museum,El Raval,Art
1,13,71,0.71,CCCB Center,El Raval,Art
1,14,33,0.825,Sant Pau del Camp,El Raval,Religious
1,15,8,0.13333333333333333,Church of Sant Josep Oriol,Barri Gotic,Religious
1,16,9,0.1,Picasso Museum,El Born,Art
1,17,13,0.1625,Fundacio Joan Miro,Montjuic,Art
1,18,24,0.06,MNAC (Palau Nacional),Montjuic,Art
1,19,37,0.074,Barcelona Zoo,Ciutadella,Nature
1,20,90,0.09,Parc de la Ciutadella,Ciutadella,Nature
1,21,10,0.03333333333333333,Castell de Montjuic,Montjuic,History
1,22,99,0.061875,Magic Fountain of Montjuic,Montjuic,History
1,23,27,0.03857142857142857,Poble Espanyol,Montjuic,History
1,24,62,0.005543039015842363,Estadi Olimpic Lluis Companys,Montjuic,History
1,25,8,0.11428571428571428,Montjuic Cable Car (Teleferic),Montjuic,Nature
1,26,55,0.34375,Laberint d'Horta,Horta-Guinardo,Nature
1,27,26,0.325,Bunkers del Carmel,Horta-Guinardo,Nature
1,28,71,0.29583333333333334,CosmoCaixa,Horta-Guinardo,Art
1,29,29,0.24166666666666667,Tibidabo Temple (Sagrat Cor),Horta-Guinardo,Religious
1,30,8,0.16,Casa Vicens,Gracia,Art
1,31,158,0.007951365823217989,Camp Nou Stadium,Les Corts,History
1,32,0,0.0,FC Barcelona Museum,Les Corts,History
1,33,302,0.604,Mercat de la Boqueria,El Raval,Food
1,34,73,0.30416666666666664,Mercat de Sant Antoni,Sant Antoni,Food
1,35,20,0.1111111111111111,Mercat de Santa Caterina,El Born,Food
1,36,46,0.2875,Mercat de la Concepcio,Sant Antoni,Food
1,37,150,0.375,Mercat dels Encants,Poblenou,History
1,38,85,0.053125,Barceloneta Beach,La Barceloneta,Nature
1,39,6,0.006,Port Vell (Promenade),Barri Gotic,History
1,40,1,0.004166666666666667,Aquarium Barcelona,Barri Gotic,Nature
1,41,1,0.008333333333333333,Maritime Museum,Barri Gotic,History
1,42,22,0.11,Basilica de la Mare de Deu de la Merce,Barri Gotic,Religious
1,43,5,0.05,El Born Cultural Center,El Born,History
1,44,40,0.3333333333333333,Parc de la Creueta del Coll,Horta-Guinardo,Nature
1,45,27,0.16875,Parc de l'Espanya Industrial,Sants,Nature
1,46,154,0.6416666666666667,Parc Central de Nou Barris,Nou Barris,Nature
1,47,101,0.63125,Parc del Turo de la Peira,Nou Barris,Nature
1,48,18,0.225,Torre Glories Viewpoint,Poblenou,Art
1,49,212,0.35333333333333333,Parc Diagonal Mar,Poblenou,Nature
1,50,240,0.3,Forum Building / Forum Park,Poblenou,History
2,1,2,0.006666666666666667,Sagrada Familia,Eixample,Religious
2,2,19,0.1357142857142857,Parc Guell,Gracia,Nature
2,3,16,0.01,La Rambla,Barri Gotic,History
