tick,agent_id,recommender,chosen_poi_id,chosen_poi_name,chosen_neighborhood,chosen_score,candidate_poi_ids
0,0,sustainability,14,Sant Pau del Camp,El Raval,0.7202429284567199,"[14, 37, 50, 49, 34]"
0,1,sustainability,11,Palau Guell,El Raval,0.912614635474543,"[11, 13, 33, 28, 46]"
0,2,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.9525169102784181,"[46, 47, 12, 13, 11]"
0,4,sustainability,13,CCCB Center,El Raval,0.8970432750339907,"[13, 11, 33, 14, 37]"
0,5,sustainability,12,MACBA Museum,El Raval,0.8916233137609394,"[12, 13, 11, 33, 37]"
0,6,sustainability,13,CCCB Center,El Raval,0.8967953841878675,"[13, 11, 33, 14, 49]"
0,7,sustainability,14,Sant Pau del Camp,El Raval,0.9022178035144854,"[14, 47, 46, 26, 27]"
0,8,sustainability,33,Mercat de la Boqueria,El Raval,0.9092555467320032,"[33, 11, 13, 14, 28]"
0,9,sustainability,33,Mercat de la Boqueria,El Raval,0.8854627801827639,"[33, 13, 14, 34, 9]"
0,10,sustainability,47,Parc del Turo de la Peira,Nou Barris,0.9730888709730094,"[47, 46, 26, 44, 49]"
0,11,sustainability,14,Sant Pau del Camp,El Raval,0.8857425925003342,"[14, 11, 13, 33, 46]"
0,12,sustainability,12,MACBA Museum,El Raval,0.9364091450634127,"[12, 11, 13, 46, 47]"
0,13,sustainability,11,Palau Guell,El Raval,0.8672195229689228,"[11, 13, 33, 49, 14]"
0,14,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.957425221322989,"[46, 14, 33, 12, 13]"
0,15,sustainability,12,MACBA Museum,El Raval,0.9041564729029874,"[12, 13, 33, 14, 34]"
0,16,sustainability,47,Parc del Turo de la Peira,Nou Barris,0.8524085316386638,"[47, 46, 14, 37, 26]"
0,17,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.8890852794514134,"[46, 47, 13, 11, 33]"
0,18,sustainability,33,Mercat de la Boqueria,El Raval,0.8099572616868864,"[33, 13, 12, 11, 37]"
0,19,sustainability,14,Sant Pau del Camp,El Raval,0.829746775520719,"[14, 49, 37, 50, 34]"
0,20,sustainability,38,Barceloneta Beach,La Barceloneta,0.7050136746094037,"[38, 10]"
0,21,sustainability,10,Basilica de Santa Maria del Pi,Barri Gotic,0.6194342983617513,"[10, 38]"
0,22,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.8678008965766806,"[46, 14, 49, 34, 37]"
0,23,sustainability,14,Sant Pau del Camp,El Raval,0.8203442871075938,"[14, 13, 33, 11, 49]"
0,24,sustainability,13,CCCB Center,El Raval,0.9046283524428257,"[13, 11, 47, 46, 33]"
0,25,sustainability,33,Mercat de la Boqueria,El Raval,0.8386780157879538,"[33, 13, 11, 14, 46]"
0,26,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.8520321554105095,"[46, 14, 33, 12, 13]"
0,27,sustainability,37,Mercat dels Encants,Poblenou,0.8128114840982515,"[37, 46, 50, 49, 14]"
0,28,sustainability,33,Mercat de la Boqueria,El Raval,0.8688452176736792,"[33, 3, 39, 41, 20]"
0,29,sustainability,14,Sant Pau del Camp,El Raval,0.8679249493855585,"[14, 13, 11, 33, 37]"
0,30,sustainability,14,Sant Pau del Camp,El Raval,0.8717604470634686,"[14, 12, 13, 11, 15]"
0,31,sustainability,14,Sant Pau del Camp,El Raval,0.8064779143127414,"[14, 37, 50, 49, 34]"
0,32,sustainability,50,Forum Building / Forum Park,Poblenou,0.8115485842335641,"[50, 37, 49, 14, 43]"
0,33,sustainability,47,Parc del Turo de la Peira,Nou Barris,0.9701435139499878,"[47, 46, 33, 12, 13]"
0,34,sustainability,13,CCCB Center,El Raval,0.8805539234067007,"[13, 11, 33, 47, 46]"
0,35,sustainability,33,Mercat de la Boqueria,El Raval,0.8530790138789497,"[33, 47, 46, 37, 50]"
0,36,sustainability,14,Sant Pau del Camp,El Raval,0.8316024949815812,"[14, 49, 37, 50, 34]"
0,37,sustainability,49,Parc Diagonal Mar,Poblenou,0.8446178529948002,"[49, 46, 26, 44, 37]"
0,38,sustainability,14,Sant Pau del Camp,El Raval,0.7884844378630951,"[14, 37, 49, 50, 4]"
0,39,sustainability,11,Palau Guell,El Raval,0.8965460272241198,"[11, 13, 33, 37, 50]"
0,40,sustainability,37,Mercat dels Encants,Poblenou,0.8482327152524458,"[37, 47, 46, 50, 49]"
0,41,sustainability,50,Forum Building / Forum Park,Poblenou,0.8827005888540693,"[50, 37, 33, 32, 13]"
0,42,sustainability,12,MACBA Museum,El Raval,0.8540860399453037,"[12, 13, 11, 37, 48]"
0,43,sustainability,14,Sant Pau del Camp,El Raval,0.8236096021481891,"[14, 4, 15, 42, 10]"
0,44,sustainability,13,CCCB Center,El Raval,0.8366040935831615,"[13, 11, 28, 50, 37]"
0,45,sustainability,49,Parc Diagonal Mar,Poblenou,0.846664758671211,"[49, 2, 26, 44, 47]"
0,46,sustainability,33,Mercat de la Boqueria,El Raval,0.8730003053360336,"[33, 12, 13, 11, 14]"
0,47,sustainability,33,Mercat de la Boqueria,El Raval,0.7306943000086803,"[33, 41, 39, 3, 20]"
0,48,sustainability,47,Parc del Turo de la Peira,Nou Barris,0.7983107011423158,"[47, 46, 36, 44, 34]"
0,49,sustainability,37,Mercat dels Encants,Poblenou,0.7941817078029383,"[37, 49, 46, 47, 44]"
0,50,sustainability,37,Mercat dels Encants,Poblenou,0.795262926099052,"[37, 13, 50, 11, 33]"
0,51,sustainability,33,Mercat de la Boqueria,El Raval,0.8389858908008334,"[33, 13, 11, 50, 37]"
0,52,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.8630067442370088,"[46, 47, 13, 11, 33]"
0,53,sustainability,13,CCCB Center,El Raval,0.8693356428761108,"[13, 11, 33, 49, 37]"
0,54,sustainability,36,Mercat de la Concepcio,Sant Antoni,0.8278663106141965,"[36, 34, 35, 37, 49]"
0,55,sustainability,14,Sant Pau del Camp,El Raval,0.7873173341090398,"[14, 49, 37, 50, 34]"
0,56,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.9214565192312744,"[46, 47, 12, 11, 13]"
0,57,sustainability,50,Forum Building / Forum Park,Poblenou,0.8437658779005103,"[50, 37, 33, 11, 13]"
0,58,sustainability,47,Parc del Turo de la Peira,Nou Barris,0.9133013796269829,"[47, 46, 12, 26, 27]"
0,59,sustainability,14,Sant Pau del Camp,El Raval,0.7176766581405101,"[14, 15, 42, 10, 4]"
0,60,sustainability,11,Palau Guell,El Raval,0.8343290455981018,"[11, 13, 46, 47, 28]"
0,61,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.9292218959730074,"[46, 26, 44, 49, 37]"
0,62,sustainability,13,CCCB Center,El Raval,0.8968093210560172,"[13, 11, 33, 28, 49]"
0,63,sustainability,47,Parc del Turo de la Peira,Nou Barris,0.8499640905424162,"[47, 46, 49, 26, 27]"
0,64,sustainability,49,Parc Diagonal Mar,Poblenou,0.7934360029380885,"[49, 37, 50, 14, 34]"
0,65,sustainability,13,CCCB Center,El Raval,0.8821469503472347,"[13, 11, 33, 14, 37]"
0,66,sustainability,38,Barceloneta Beach,La Barceloneta,0.4726589272650607,"[38, 10]"
0,67,sustainability,33,Mercat de la Boqueria,El Raval,0.883176445703914,"[33, 11, 13, 49, 37]"
0,68,sustainability,33,Mercat de la Boqueria,El Raval,0.9313824325177646,"[33, 34, 36, 11, 13]"
0,69,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.88572552046958,"[46, 47, 26, 44, 49]"
0,70,sustainability,12,MACBA Museum,El Raval,0.8853047866477268,"[12, 11, 13, 48, 37]"
0,71,sustainability,11,Palau Guell,El Raval,0.8699199662255048,"[11, 13, 30, 33, 49]"
0,72,sustainability,49,Parc Diagonal Mar,Poblenou,0.7997517914682754,"[49, 37, 20, 50, 38]"
0,73,sustainability,37,Mercat dels Encants,Poblenou,0.7983193893720969,"[37, 34, 50, 36, 22]"
0,74,sustainability,34,Mercat de Sant Antoni,Sant Antoni,0.8161185681066608,"[34, 36, 35, 46, 14]"
0,75,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.8745244117224578,"[46, 47, 37, 26, 27]"
0,76,sustainability,39,Port Vell (Promenade),Barri Gotic,0.7656598007447879,"[39, 41, 3, 20, 19]"
0,77,sustainability,49,Parc Diagonal Mar,Poblenou,0.7990004445360464,"[49, 37, 50, 20, 45]"
0,78,sustainability,47,Parc del Turo de la Peira,Nou Barris,0.8253553830823207,"[47, 46, 37, 50, 26]"
0,79,sustainability,34,Mercat de Sant Antoni,Sant Antoni,0.6985200203999158,"[34, 36, 37, 50, 14]"
0,80,sustainability,33,Mercat de la Boqueria,El Raval,0.8301646717157789,"[33, 13, 11, 37, 49]"
0,81,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.9052620160150159,"[46, 33, 47, 12, 13]"
0,82,sustainability,49,Parc Diagonal Mar,Poblenou,0.7829262276168453,"[49, 19, 20, 38, 14]"
0,83,sustainability,33,Mercat de la Boqueria,El Raval,0.8508665457225233,"[33, 37, 12, 50, 13]"
0,84,sustainability,13,CCCB Center,El Raval,0.8658387301510103,"[13, 11, 28, 33, 46]"
0,85,sustainability,38,Barceloneta Beach,La Barceloneta,0.7656949523714099,"[38, 10]"
0,86,sustainability,13,CCCB Center,El Raval,0.828362387397519,"[13, 11, 49, 33, 37]"
0,87,sustainability,37,Mercat dels Encants,Poblenou,0.8636180596911923,"[37, 50, 43, 49, 20]"
0,88,sustainability,12,MACBA Museum,El Raval,0.9067885695330207,"[12, 11, 13, 33, 28]"
0,89,sustainability,37,Mercat dels Encants,Poblenou,0.7794851185864442,"[37, 50, 14, 49, 34]"
0,90,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.8212036182157634,"[46, 49, 37, 50, 45]"
0,91,sustainability,38,Barceloneta Beach,La Barceloneta,0.5908958428355806,"[38, 40, 10]"
0,92,sustainability,47,Parc del Turo de la Peira,Nou Barris,0.9267388986741876,"[47, 46, 44, 49, 45]"
0,93,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.8856167203776665,"[46, 47, 33, 12, 11]"
0,94,sustainability,33,Mercat de la Boqueria,El Raval,0.8615480876756073,"[33, 12, 11, 13, 29]"
0,95,sustainability,33,Mercat de la Boqueria,El Raval,0.8347830043827094,"[33, 13, 3, 39, 34]"
0,96,sustainability,11,Palau Guell,El Raval,0.8614173598167911,"[11, 13, 33, 46, 28]"
0,97,sustainability,37,Mercat dels Encants,Poblenou,0.8709638586586734,"[37, 50, 21, 22, 23]"
0,98,sustainability,33,Mercat de la Boqueria,El Raval,0.8356830185577763,"[33, 12, 37, 13, 49]"
0,99,sustainability,37,Mercat dels Encants,Poblenou,0.8096069650319819,"[37, 50, 21, 22, 23]"
0,100,sustainability,33,Mercat de la Boqueria,El Raval,0.8754499048814787,"[33, 13, 11, 49, 37]"
0,101,sustainability,14,Sant Pau del Camp,El Raval,0.7707120757649708,"[14, 15, 42, 10, 19]"
0,102,sustainability,47,Parc del Turo de la Peira,Nou Barris,0.862761108887922,"[47, 46, 33, 13, 11]"
0,103,sustainability,33,Mercat de la Boqueria,El Raval,0.8273795612034291,"[33, 49, 34, 36, 13]"
0,104,sustainability,15,Church of Sant Josep Oriol,Barri Gotic,0.8017188876710329,"[15, 42, 10, 4, 9]"
0,105,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.820819961446041,"[46, 37, 49, 50, 34]"
0,106,sustainability,47,Parc del Turo de la Peira,Nou Barris,0.8804566016616605,"[47, 46, 26, 44, 49]"
0,107,sustainability,33,Mercat de la Boqueria,El Raval,0.8518086779437095,"[33, 13, 34, 11, 37]"
0,108,sustainability,33,Mercat de la Boqueria,El Raval,0.8822279287059237,"[33, 46, 47, 13, 11]"
0,109,sustainability,12,MACBA Museum,El Raval,0.8641631331836569,"[12, 33, 48, 13, 2]"
0,110,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.9374847115174033,"[46, 47, 44, 49, 2]"
0,111,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.8272844159932222,"[46, 47, 33, 12, 13]"
0,112,sustainability,33,Mercat de la Boqueria,El Raval,0.8641275694779614,"[33, 13, 47, 11, 46]"
0,113,sustainability,4,Santa Maria del Mar,El Born,0.7370893562279339,"[4, 42, 10, 15, 37]"
0,114,sustainability,33,Mercat de la Boqueria,El Raval,0.8721664220693679,"[33, 13, 37, 11, 50]"
0,115,sustainability,33,Mercat de la Boqueria,El Raval,0.8165989137583889,"[33, 20, 38, 3, 39]"
0,116,sustainability,49,Parc Diagonal Mar,Poblenou,0.8504358171033862,"[49, 26, 44, 47, 46]"
0,117,sustainability,49,Parc Diagonal Mar,Poblenou,0.8297708928349039,"[49, 13, 33, 11, 37]"
0,119,sustainability,46,Parc Central de Nou Barris,Nou Barris,0.878368447068614,"[46, 33, 12, 13, 11]"
0,120,sustainability,50,Forum Building / Forum Park,Poblenou,0.773628607211485,"[50, 33, 37, 47, 46]"
0,121,sustainability,13,CCCB Center,El Raval,0.8390085376248027,"[13, 11, 33, 46, 37]"
0,122,sustainability,13,CCCB Center,El Raval,0.8480227258742823,"[13, 11, 33, 49, 37]"
0,123,sustainability,12,MACBA Museum,El Raval,0.897501745607037,"[12, 13, 33, 5, 6]"
0,124,sustainability,33,Mercat de la Boqueria,El Raval,0.8854363724671586,"[33, 11, 13, 28, 14]"
0,125,sustainability,37,Mercat dels Encants,Poblenou,0.845222788686961,"[37, 50, 33, 11, 13]"
0,126,sustainability,37,Mercat dels Encants,Poblenou,0.7944156776070379,"[37, 50, 11, 13, 9]"
0,127,sustainability,42,Basilica de la Mare de Deu de la Merce,Barri Gotic,0.7865652049788125,"[42, 10, 9, 15, 4]"
0,128,sustainability,47,Parc del Turo de la Peira,Nou Barris,0.8707123133211756,"[47, 46, 29, 26, 27]"
0,129,sustainability,50,Forum Building / Forum Park,Poblenou,0.8171359703683684,"[50, 37, 49, 34, 43]"
0,130,sustainability,37,Mercat dels Encants,Poblenou,0.8707391745263091,"[37, 50, 21, 22, 23]"
0,131,sustainability,40,Aquarium Barcelona,Barri Gotic,0.6009010682433966,"[40, 38, 10]"
0,132,sustainability,50,Forum Building / Forum Park,Poblenou,0.807513173078131,"[50, 47, 46, 37, 26]"
0,133,sustainability,33,Mercat de la Boqueria,El Raval,0.8765497997544852,"[33, 11, 13, 46, 28]"
0,134,sustainability,47,Parc del Turo de la Peira,Nou Barris,0.8964614894282267,"[47, 46, 11, 13, 33]"
0,135,sustainability,12,MACBA Museum,El Raval,0.8733903864423986,"[12, 11, 13, 28, 33]"
0,136,sustainability,37,Mercat dels Encants,Poblenou,0.7794341235012097,"[37, 50, 49, 14, 20]"
0,137,sustainability,12,MACBA Museum,El Raval,0.8208561770349299,"[12, 11, 13, 28, 50]"
0,138,sustainability,33,Mercat de la Boqueria,El Raval,0.8643387438257527,"[33, 11, 13, 49, 28]"
0,139,sustainability,33,Mercat de la Boqueria,El Raval,0.8360809410689825,"[33, 34, 36, 35, 46]"
0,140,sustainability,4,Santa Maria del Mar,El Born,0.8013011147581259,"[4, 42, 10, 15, 14]"
0,141,sustainability,50,Forum Building / Forum Park,Poblenou,0.7973887207551887,"[50, 37, 33, 24, 36]"
0,142,sustainability,37,Mercat dels Encants,Poblenou,0.7962768959546362,"[37, 50, 49, 34, 14]"
0,143,sustainability,33,Mercat de la Boqueria,El Raval,0.7454956030803412,"[33, 20, 38, 9, 42]"
